gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
OFD1_TSS30763	0.00214601991390573	-0.213198839943781	0.0447791143015056	209	209	207	3.37985	3.46856711483254
CA5B_TSS2976	0.00111685147409531	-0.226067877845098	0.0283979310521282	206	205	125	1.06546	1.04117433040394
XK_TSS12436	0.00111056967891188	0.226175948216449	0.0283023644692589	206	205	42	0.664426	0.733995011961722
SLC38A5_TSS26107	2.22955977897635e-05	-0.291498796650051	0.00144789610779531	187	156	15	0.266326	0.392049771770335
PIM2_TSS34794	1.41769249329458e-05	-0.298096713735006	0.00101798042211155	209	209	209	8.28023	9.6447971291866
FOXP3_TSS27131	1.03907395446435e-06	-0.333350607397689	0.000137615385233489	202	191	77	0.722666	1.13258531435407
IQSEC2_TSS24617,TSS3634	0.00119639569987331	0.22474562011753	0.029806111583296	209	209	209	21.9236	22.1192535406699
FAM104B_TSS1452,TSS15021,TSS27402	0.00220517638997368	0.212646932179752	0.0457224926366674	206	206	203	3.51173	3.55368307177033
AR_TSS36493,TSS8745	0.00173998343627417	0.21741109248581	0.0390307880980484	206	171	27	0.345643	0.513945413732057
DLG3_TSS17701,TSS19560,TSS7981	0.000400729165007194	-0.24493782507168	0.0130484562888521	205	186	18	0.353453	0.440446128229665
CXCR3_TSS967	9.20580895457833e-08	-0.36253036858717	2.86198148550556e-05	202	200	156	2.50364	4.13879098803828
OGT_TSS6961	0.000842960252878768	-0.231398562356399	0.0233444279781522	209	209	209	25.3724	26.0269545933014
VSIG4_TSS3090	0.000355580567031673	0.247045038648838	0.0119749603081642	209	209	209	689.196	699.251177033493
FAM226A_TSS15381	0.000104169187548143	-0.26771082500452	0.00471268779277538	25	2	0	0	0.00401814114832536
SLC16A2_TSS18527	0.00131674491406301	-0.222890853469989	0.0320240882477302	133	23	0	0.0104463	0.0378093022488038
GPR174_TSS27218	2.42018625907554e-06	-0.322426507782247	0.000258838414093012	191	184	91	0.818488	1.39493388133971
P2RY10_TSS25200	1.05731052708223e-06	-0.333130025752482	0.000138594432732045	199	195	91	0.874331	1.33818824784689
ITM2A_TSS6954	3.1493409506245e-07	-0.348091392338872	5.59807570383637e-05	209	206	158	2.00753	3.40745899043062
RPS6KA6_TSS9505	0.00160793273968204	-0.218976197220025	0.0369096079707502	121	3	0	0.00445206	0.0107403572727273
SLC25A53_TSS15598	1.49366994243127e-05	-0.297344177843121	0.00105345198562973	198	63	1	0.0539283	0.108115213588517
FRMPD3_TSS9113	0.00102751781923908	-0.227660117743401	0.0268266628909836	176	31	0	0.0282129	0.0592522815311005
KLHL13_TSS13159,TSS2645,TSS31097,TSS32278,TSS525	0.000422145008387113	-0.24401430038223	0.0136243037365947	160	67	1	0.0503681	0.104255368229665
LONRF3_TSS14204,TSS22248	0.000405947949432155	0.244708630197523	0.0131847973766649	208	208	208	14.5538	14.7055190909091
SEPT6_TSS31328	0.00086329287850126	-0.230951639701283	0.0236795337488473	209	209	209	17.2541	18.1137038277512
SH2D1A_TSS30904	2.83717387286643e-07	-0.349345116150687	5.42657987362476e-05	201	188	76	0.663915	1.12194827703349
RAB33A_TSS35732	0.000973542039106209	-0.228684955023725	0.0259215708974936	168	145	23	0.225779	0.441149579425837
FAM45B_TSS22173	0.00124026627042267	0.224050484568153	0.030749220308704	208	207	23	0.651651	0.664122546889952
STK26_TSS12422,TSS32181	0.00120898062926712	-0.224543851027742	0.0300318307723002	207	206	149	1.40876	1.62487549665072
ZNF75D_TSS13887,TSS9270	0.000624088408185486	-0.236964527342029	0.0184206972305187	209	209	206	2.48329	2.53304751196172
DDX26B_TSS25422	4.0341083437818e-06	-0.315612456233944	0.000387653546524085	209	209	201	2.27777	2.4835429569378
LINC00892_TSS8696	5.42131513060945e-06	-0.311593052325796	0.000481160541852459	194	189	138	1.99759	3.28916700717703
CD40LG_TSS4143	5.52209798988064e-10	-0.416015151443799	2.27223490512639e-06	206	206	162	2.58731	4.25902380861244
FHL1_TSS10004,TSS15569,TSS18174,TSS32008,TSS33805,TSS765,TSS7962	1.27419234470971e-07	0.358783371927329	3.22471589337871e-05	209	209	209	82.498	85.7244406698565
L1CAM_TSS11651,TSS29406,TSS32426	0.00144748966398457	-0.221044213975289	0.0343355988443397	200	147	9	0.166426	0.273403905023923
MGC70870_TSS14123	0.000824908227693306	-0.231803752406596	0.0230810734048362	196	144	5	0.198461	0.274157678133971
RNA5-8S5_TSS32679	0.00103405018527968	0.227539461927398	0.0268266628909836	113	113	113	2.29365	5.72359100478469
RNA18S5_TSS21417	0.00242059670365244	0.210744837216177	0.0489596084583801	110	110	110	38.5194	73.0641339712919
