gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
FAM41C_TSS15687	0.00373654904640696	-0.201664222555979	0.0427337495191088	103	0	0	0	0.0176189818181818
PLEKHN1_TSS7742	0.00204742456478077	0.214150240921024	0.0289299166945059	195	160	7	0.219745	0.297276676555024
TNFRSF4_TSS36373	0.00135104580275732	0.22239068136026	0.0218795519196577	190	159	31	0.331967	0.587299001435407
TNFRSF18_TSS25091	5.24355969156839e-06	0.312049374398298	0.000352712182305736	196	187	74	0.757463	1.03206700047847
PRKCZ_TSS13561,TSS21317,TSS29191,TSS30385	0.000238530285141146	0.253955064496291	0.00659142985783009	207	206	176	1.85725	2.06154699665072
PLCH2_TSS22645,TSS25109	0.000140017285158445	0.26288595031024	0.00435929576849575	202	149	19	0.195132	0.348916737655502
PRDM16_TSS13637	0.00255480863914402	0.209636167225	0.0336096055713641	153	1	0	0.00813816	0.0145775159808612
MEGF6_TSS26120	0.000290916868190509	0.250543065822746	0.00744537191445921	208	193	25	0.393853	0.500295341291866
RNF207_TSS35327	0.00347694198841722	0.203196463850036	0.0408053784049277	199	117	3	0.114102	0.191686233905827
TNFRSF25_TSS14993	3.79213644613554e-09	0.396975418903432	9.69307996996705e-07	206	204	168	2.41287	4.21214826315789
PLEKHG5_TSS15978,TSS22362,TSS25048,TSS27446,TSS28722,TSS3004,TSS5589,TSS569	0.000600496832179129	0.237668663948437	0.0126157667934868	169	27	0	0.0266526	0.0516568102392344
SPSB1_TSS21307	0.00130594000698771	0.223050882519729	0.0214531699991085	208	205	90	0.921901	1.09555739267943
PIK3CD_TSS8483	1.28515582118509e-05	0.299505880419706	0.000728378446680979	209	209	209	12.5252	14.2385297607655
CLSTN1_TSS28831	0.000654144136331165	0.236102233418799	0.0133125623158924	209	209	209	10.5821	10.7924849282297
FBXO44_TSS1095,TSS5124	0.00343048006562285	0.203481536722156	0.0405580485464319	209	209	208	3.44019	3.61806078947368
TNFRSF1B_TSS13926	9.45173226487148e-06	0.303870528101606	0.000570441276067512	209	209	209	19.0664	20.8821653110048
KAZN_TSS18473,TSS4388,TSS9422,TSS982	0.00029959216912787	-0.250034054758899	0.0076197765523159	209	208	205	2.91869	3.0615213215311
