tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)
GPR25_TSS19648	3.592236313208e-05	0.284367024117818	0.00159387089152224	175	148	33	0.239109	0.543105483253589	2.91298186584644e-05	-0.287524636871238	0.00177282689221192	175	148	33	0.239109	0.543105483253589
KIF21B_TSS22875	8.08055099150974e-12	0.45401343083431	1.0327348194699e-08	209	208	200	2.2737	2.81758580172249	4.32208787300288e-08	-0.371065029602625	2.00867069312412e-05	209	208	200	2.2737	2.81758580172249
PTPN7_TSS11819,TSS26362	1.89788161247543e-10	0.426076473803351	9.46580879976061e-08	209	208	184	3.07511	4.5467001062201	1.41162371237879e-09	-0.406889959189458	2.96257967764586e-06	209	208	184	3.07511	4.5467001062201
LAX1_TSS16296,TSS32641	2.2623446300764e-08	0.378180827173037	4.48277450305294e-06	205	202	86	0.779045	1.27709486220096	6.22262209455214e-10	-0.414869077881183	2.27223490512639e-06	205	202	86	0.779045	1.27709486220096
ATP2B4_TSS20247	3.28482026792082e-06	0.318372804913808	0.000241969137949061	209	209	209	6.89067	7.78919344497608	2.42508647359988e-05	-0.290255696294394	0.001557478275168	209	209	209	6.89067	7.78919344497608
FCMR_TSS21508,TSS30504	0.000627941526114846	0.23685186577441	0.0130025576552834	202	194	77	0.696052	1.12548887320574	0.000395036434502197	-0.245191012380028	0.01291243772674	202	194	77	0.696052	1.12548887320574
CD55_TSS22160	0.000486238136370921	-0.241489092619865	0.0108642771012038	209	209	209	35.3043	35.4187440191388	0.00058056805361595	0.238283681263214	0.0175389864468411	209	209	209	35.3043	35.4187440191388
TRAF3IP3_TSS9082,TSS9474	2.5912180363584e-10	0.423177142970258	1.09620737443827e-07	205	205	188	4.12	6.55824513397129	5.17579299146809e-08	-0.369052722525142	2.12478358096635e-05	205	205	188	4.12	6.55824513397129
TRAF5_TSS34889,TSS35580,TSS8938	0.000267820973284217	0.251970339595289	0.00711618700428052	207	207	195	2.10825	2.6493866076555	1.5857656827556e-07	-0.356234433223168	3.6569749868975e-05	207	207	195	2.10825	2.6493866076555
DISP1_TSS21734	0.00204647576786139	-0.214159597352345	0.0289299166945059	209	209	208	5.25701	5.158013215311	0.00103925157515505	0.22744388950177	0.0268869529479132	209	209	208	5.25701	5.158013215311
DEGS1_TSS17323	0.000721836407039358	-0.234286830447604	0.0142263350399261	209	209	209	64.6964	66.7126947368421	4.25046467794066e-05	0.281804605026596	0.00234656863137886	209	209	209	64.6964	66.7126947368421
LOC100130093_TSS12923	0.00089212901433445	0.230334139593782	0.0163370874396326	208	189	25	0.472537	0.6501322401335	0.000752089246020218	-0.233525802638393	0.0214316089381525	208	189	25	0.472537	0.6501322401335
FAM89A_TSS4251	0.00119170466436417	-0.224821327822835	0.0200007635757141	209	209	209	52.2642	52.008809569378	0.000433454139982734	0.243543996918108	0.0139189965729883	209	209	209	52.2642	52.008809569378
PCNXL2_TSS3200	0.00068071740956825	0.235369788143113	0.0136683564068924	209	208	184	1.53007	1.65579932105263	0.000565537342165936	-0.238760584689266	0.0172502386671879	209	208	184	1.53007	1.65579932105263
RYR2_TSS4250	1.1298777277518e-07	0.360174555948194	1.49641474606548e-05	176	13	0	0.011968	0.0282451036842105	0.000597735621808562	-0.237752741414776	0.0178698482211095	176	13	0	0.011968	0.0282451036842105
CHRM3-AS2_TSS20486	0.00331254517250688	0.204221119194837	0.0395478594836284	185	174	56	0.516935	0.854154560287081	4.53377466618024e-05	-0.280815222083192	0.00246308086498206	185	174	56	0.516935	0.854154560287081
TRIB2_TSS27688	3.10532067920465e-08	0.374720726883895	5.54400520773726e-06	205	204	160	1.76701	2.55545684497608	2.74975748735363e-07	-0.349719938538772	5.36538558276688e-05	205	204	160	1.76701	2.55545684497608
KLHL29_TSS7290	0.00246285718437373	-0.210389843259466	0.0328051550233335	209	209	209	4.47723	4.51937755980861	0.000110271796517513	0.266789119378275	0.00491055294561697	209	209	209	4.47723	4.51937755980861
GAREML_TSS15481,TSS18211	0.00176519831329489	0.217124629194678	0.0263495726057689	165	47	1	0.0332175	0.0707576901913876	0.00111985963422883	-0.226016323629468	0.0283979310521282	165	47	1	0.0332175	0.0707576901913876
FAM179A_TSS4944	0.00421079030817722	0.199097730040138	0.0460950796862176	202	185	19	0.380362	0.537630669043062	1.03545941544839e-06	-0.333394766102024	0.000137615385233489	202	185	19	0.380362	0.537630669043062
LBH_TSS19908	1.34657880282043e-10	0.429240162596615	7.48258712584629e-08	209	207	178	2.45612	4.15882868272727	3.29927807994881e-09	-0.398392153697178	4.43857089481956e-06	209	207	178	2.45612	4.15882868272727
GALM_TSS20378	6.68857881451332e-06	0.308700198236898	0.000431734250196402	209	209	209	6.37632	7.15772598086124	5.44424786262529e-05	-0.277988680390951	0.0028516479429624	209	209	209	6.37632	7.15772598086124
HAAO_TSS1291	0.00180185833588656	0.216714729787495	0.0265784901857584	206	206	160	1.51144	1.95900766028708	0.00250907041889054	-0.21000792343419	0.049966520532379	206	206	160	1.51144	1.95900766028708
EPAS1_TSS12443	0.0042591495210028	-0.198850862681785	0.0464652671388615	209	209	209	38.8586	39.0580277511962	1.10439000188787e-05	0.301667911612546	0.000845189007133406	209	209	209	38.8586	39.0580277511962
SPTBN1_TSS10298,TSS9757	0.000846500235362768	0.231320043053524	0.0157937171650421	209	206	134	1.24992	1.43744126751196	0.00163492448668526	-0.218646973527361	0.037279486890421	209	206	134	1.24992	1.43744126751196
TRABD2A_TSS8933	0.00163605480025038	0.218633295460849	0.0249965312308428	204	201	79	0.818825	1.10087459856459	8.82553638286041e-06	-0.304834749092548	0.00071163891319336	204	201	79	0.818825	1.10087459856459
TGOLN2_TSS36240	5.27783866580185e-06	-0.311960243034017	0.000354086178836118	209	209	209	124.366	122.711927272727	0.00152007396610095	0.220083958850596	0.0354512870871408	209	209	209	124.366	122.711927272727
VAMP5_TSS35100	5.1453027965418e-06	0.312307962526192	0.000347016054834841	209	209	209	30.391	38.7701824880383	9.11210050513468e-06	-0.304385703359257	0.000727857503161711	209	209	209	30.391	38.7701824880383
CD8A_TSS24448,TSS30524	2.29069382509023e-09	0.4020734953799	6.43433240254191e-07	207	206	175	2.92575	5.90933393588517	0.000225607235256052	-0.254903924149832	0.00838189904124994	207	206	175	2.92575	5.90933393588517
CD8B_TSS31470	1.70887896233367e-05	0.295394155455835	0.00091001364908773	192	190	124	1.32777	2.3240706215311	0.00114927480592531	-0.225518792328869	0.0289179971961547	192	190	124	1.32777	2.3240706215311
ITPRIPL1_TSS14358,TSS21566,TSS28029,TSS28469	1.16551379278226e-06	0.331891564222927	0.000101678150366237	198	183	48	0.402094	0.721470768899522	4.61221866129685e-05	-0.280551567884731	0.00248719243040947	198	183	48	0.402094	0.721470768899522
SEMA4C_TSS23547	8.29438460549903e-06	0.305704915365199	0.000518368618340246	193	142	8	0.169537	0.281759291244019	0.00046917528259243	-0.242129756786447	0.0148423136118132	193	142	8	0.169537	0.281759291244019
ZAP70_TSS22131,TSS35458	5.63106508792048e-13	0.475762218729648	1.51161671781835e-09	205	205	170	2.76916	4.99797503827751	8.82991126861264e-09	-0.388228281223394	7.13640856922338e-06	205	205	170	2.76916	4.99797503827751
IL18R1_TSS34462	2.76461306784006e-06	0.32066802714742	0.000207841984197235	200	187	48	0.466638	0.738374816172249	1.70658783168103e-06	-0.326991621928513	0.000203841549371957	200	187	48	0.466638	0.738374816172249
IL18RAP_TSS8155	1.53195656941062e-07	0.356638165784122	1.92898783861531e-05	203	197	111	1.10431	1.88896787033493	3.24397354764358e-07	-0.347734815519249	5.71856605871155e-05	203	197	111	1.10431	1.88896787033493
NCK2_TSS19620,TSS36205	1.11384259050265e-05	0.301546812298476	0.000654504148410072	209	209	209	4.20643	4.63957583732057	0.00211012840124065	-0.213540481287006	0.0443196319343568	209	209	209	4.20643	4.63957583732057
FBLN7_TSS29630	2.02622888455405e-07	0.353351634699003	2.44303945840028e-05	162	98	5	0.0960147	0.204027902870813	2.82842550987781e-05	-0.287965404750222	0.00173707983836048	162	98	5	0.0960147	0.204027902870813
