tracking_ID	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)	pvalue (Hilar Lymphadenopathy)	corr_coef (Hilar Lymphadenopathy)	fdr (Hilar Lymphadenopathy)	pval_dir (Hilar Lymphadenopathy)	fpkm>0_num (Hilar Lymphadenopathy)	fpkm>0.1_num (Hilar Lymphadenopathy)	fpkm>1_num (Hilar Lymphadenopathy)	fpkm_median (Hilar Lymphadenopathy)	fpkm_mean (Hilar Lymphadenopathy)
TRIB2_TSS27688	2.74975748735363e-07	-0.349719938538772	5.36538558276688e-05	205	204	160	1.76701	2.55545684497608	0.000107503006090172	NA	0.0211387769790818	-0.000107503006090172	199	198	156	1.75512	2.52593899310345
RASGRP3_TSS12780,TSS24643,TSS6969	1.93661782555721e-06	-0.325347840061373	0.00022198156161017	209	207	169	1.57884	1.78048691138756	7.90654666773556e-05	NA	0.0185412146214669	-7.90654666773556e-05	203	201	163	1.57884	1.77677130285714
ITPRIPL1_TSS14358,TSS21566,TSS28029,TSS28469	4.61221866129685e-05	-0.280551567884731	0.00248719243040947	198	183	48	0.402094	0.721470768899522	0.000163035071505175	NA	0.0274494076091555	-0.000163035071505175	192	177	47	0.395225	0.709947175862069
ZAP70_TSS22131,TSS35458	8.82991126861264e-09	-0.388228281223394	7.13640856922338e-06	205	205	170	2.76916	4.99797503827751	0.000169598941198738	NA	0.0277907196634165	-0.000169598941198738	199	199	165	2.76389	4.8788358226601
IL18R1_TSS34462	1.70658783168103e-06	-0.326991621928513	0.000203841549371957	200	187	48	0.466638	0.738374816172249	6.0908307276987e-06	NA	0.00915810142533568	-6.0908307276987e-06	195	182	44	0.465426	0.723019426502463
IL18RAP_TSS8155	3.24397354764358e-07	-0.347734815519249	5.71856605871155e-05	203	197	111	1.10431	1.88896787033493	2.83026262543527e-05	NA	0.0123729780967011	-2.83026262543527e-05	197	192	107	1.08891	1.85527316502463
ARHGEF4_TSS18878,TSS33376	0.000842516024215018	-0.231408437088611	0.0233444279781522	156	50	0	0.0338366	0.0724106758373206	0.000179272772772608	NA	0.0278253938635781	-0.000179272772772608	151	47	0	0.0332764	0.0698316977832512
KIF5C_TSS20975,TSS21364	5.39660656025514e-08	-0.368584358828563	2.1553540669794e-05	200	141	8	0.157209	0.260358135837321	3.99413356164035e-05	NA	0.0142598238778773	-3.99413356164035e-05	194	137	8	0.156507	0.258904121133005
SLC4A10_TSS20548	3.14949914278719e-06	-0.318934589124971	0.000326860184527888	178	83	7	0.068266	0.195075268325359	0.000145668482081172	NA	0.0258571671560892	-0.000145668482081172	172	80	7	0.0643919	0.195953318128079
DPP4_TSS16365	5.72911076755611e-09	-0.392736943625971	5.63237693575007e-06	209	206	136	1.81135	3.10097987894737	2.80371366267188e-06	NA	0.00618514500620379	-2.80371366267188e-06	203	200	132	1.80209	3.08701455024631
GPR155_TSS19499	0.000588466075235321	-0.238037642943239	0.0176962133518706	207	207	128	1.10031	1.24539906220096	0.000390903979161697	NA	0.0434430287450093	-0.000390903979161697	201	201	123	1.0985	1.23702282758621
SLC40A1_TSS18329	8.32503175205547e-07	-0.336145798188952	0.000116920954183676	208	204	159	2.12227	3.96547404583732	0.000287442494585743	NA	0.0371076646672028	-0.000287442494585743	202	198	153	2.06438	3.79549850039409
STAT1_TSS30827	4.63581894017105e-07	-0.343399750301003	7.45258917796931e-05	209	209	209	88.5613	98.0402703349282	2.6570963687885e-05	NA	0.0123729780967011	-2.6570963687885e-05	203	203	203	87.7531	97.7697280788177
ANKRD44_TSS3947	0.000191131026763378	-0.25770773469359	0.00732580308318097	209	209	209	9.06907	9.36194038277512	0.000259496775991166	NA	0.0350992150288605	-0.000259496775991166	203	203	203	8.98823	9.30831300492611
CD28_TSS30429	1.09444575804011e-07	-0.360542198385438	3.05315404447583e-05	204	199	66	0.675958	1.10690685741627	3.27906849906393e-05	NA	0.0133041698261227	-3.27906849906393e-05	198	193	62	0.673417	1.06539966600985
MREG_TSS21609	4.02248140935048e-05	-0.282646953948761	0.00225975049020676	207	207	195	2.5546	3.47642358851675	0.000236320477075979	NA	0.0331902138646421	-0.000236320477075979	201	201	189	2.51997	3.41061443349754
TUBA4A_TSS2759,TSS28369	2.90531587713866e-07	-0.34906053819006	5.42657987362476e-05	209	206	172	2.4636	3.81653519617225	0.000122105279672457	NA	0.0231195041015383	-0.000122105279672457	203	200	168	2.44902	3.76418400492611
ARL4C_TSS25821,TSS2669	1.0104020569881e-07	-0.3614621189491	2.95933907319997e-05	209	208	201	4.57039	6.00943908564593	2.3237934771351e-06	NA	0.00618514500620379	-2.3237934771351e-06	203	202	195	4.43754	5.97398915714286
OXNAD1_TSS23692	0.000547233797153663	-0.239357411199061	0.0167845984505126	209	208	207	2.53416	2.94018264114833	0.000197542234619977	NA	0.0291871506307586	-0.000197542234619977	203	202	201	2.48754	2.92408872906404
CCR4_TSS16110	1.44102211757036e-09	-0.406686445035935	2.96257967764586e-06	203	200	125	1.2537	2.2669267645933	0.000188344236757326	NA	0.0284920922394849	-0.000188344236757326	197	194	121	1.24569	2.180489008867
CXCR6_TSS25765	5.46266620892189e-09	-0.393229186051106	5.59536391697811e-06	208	208	193	5.78245	10.9249298133971	0.000342455029130478	NA	0.0403386774175306	-0.000342455029130478	202	202	187	5.77837	10.8095756699507
CCR5_TSS491	1.82409047673162e-08	-0.380510366901929	1.16563941689343e-05	209	209	200	5.23042	6.81950903349282	0.000487586279933246	NA	0.0482119234111547	-0.000487586279933246	203	203	194	5.05365	6.73545979310345
EIF4E3_TSS21924,TSS28591,TSS33154,TSS7334,TSS9072	1.7105287309358e-07	-0.355346738905386	3.76920904236638e-05	209	208	99	0.984549	1.27230340688995	1.52162143863663e-05	NA	0.0113954492392685	-1.52162143863663e-05	203	202	95	0.979907	1.2547565617734
TRAT1_TSS17010	1.14564211640481e-07	-0.36001453118087	3.05315404447583e-05	203	200	136	1.89128	2.75212824066986	1.72304994091721e-05	NA	0.0115902314578381	-1.72304994091721e-05	197	194	132	1.86533	2.72713453349754
CD96_TSS35644	2.45214550743064e-08	-0.37730451609347	1.3935597097662e-05	209	208	165	2.37397	3.97483383205742	1.88879756307333e-05	NA	0.0120698886274294	-1.88879756307333e-05	203	202	161	2.36207	3.90045696502463
SLC9A9_TSS35734	8.65011727967551e-08	-0.363242615176748	2.7988056681745e-05	207	194	45	0.535835	0.705872794354067	8.60606030732241e-05	NA	0.0188559572873759	-8.60606030732241e-05	201	188	44	0.527186	0.697704803054187
GPR171_TSS11719	5.32228424290431e-07	-0.341705283607897	8.29529923980958e-05	205	204	153	1.90962	3.11393261052632	0.000331616604325121	NA	0.0399832642601623	-0.000331616604325121	199	198	149	1.86961	3.03943904236453
ST6GAL1_TSS18437,TSS23896	9.89169989225137e-08	-0.361706148479974	2.94002024355625e-05	209	208	206	3.70036	4.80735480952153	2.6570963687885e-05	NA	0.0123729780967011	-2.6570963687885e-05	203	202	200	3.67524	4.72293987778325
EVC2_TSS12345,TSS34868	3.87771909745805e-06	-0.316145754839799	0.00037687596140732	193	106	3	0.103886	0.192608465885167	0.000144180251766318	NA	0.0257719679398522	-0.000144180251766318	187	102	3	0.103531	0.191796326453202
JAKMIP1_TSS10651,TSS12014	9.07335344256984e-07	-0.335063574749614	0.000124023522644667	198	183	70	0.620221	1.09555498995215	0.00044926798460435	NA	0.0464928702610194	-0.00044926798460435	192	178	68	0.604834	1.09739893743842
RHOH_TSS32015,TSS32437,TSS35929,TSS6305	5.21804267074556e-05	-0.278646862897081	0.00275006987024592	209	209	209	4.87487	5.62597138755981	0.000414642220273974	NA	0.0447201257064264	-0.000414642220273974	203	203	203	4.87487	5.62197226600985
CXCL10_TSS26257	6.51625797583086e-06	-0.309061309170811	0.000562709696352069	209	209	208	25.4222	36.3093927751196	6.33712155310985e-05	NA	0.0168732462519834	-6.33712155310985e-05	203	203	202	25.3256	35.0406111330049
CXCL11_TSS8000	9.12960378781549e-05	-0.269833698321527	0.00427402568535443	204	202	154	1.99269	3.12135048038277	0.00011401551154933	NA	0.0219124097046046	-0.00011401551154933	198	196	149	1.99082	3.00135657832512
CXCL9_TSS34713	2.9219090517357e-07	-0.348992209921415	5.42657987362476e-05	208	208	202	13.1118	20.4912319760766	5.85785978272996e-06	NA	0.00915810142533568	-5.85785978272996e-06	202	202	196	13.0181	19.878035729064
SLC39A8_TSS23619,TSS4194,TSS6504,TSS8299	0.00158405388061294	-0.2192716891264	0.0364446455826708	209	208	199	3.7566	4.93709782009569	0.000177911156823479	NA	0.0278253938635781	-0.000177911156823479	203	202	193	3.68546	4.88483012019704
ELOVL6_TSS32069,TSS794	8.06607807303171e-08	-0.364040244388465	2.64534731658531e-05	199	174	29	0.305799	0.513148875598086	0.000182043063594275	NA	0.0280313418586342	-0.000182043063594275	193	169	27	0.290127	0.505295809852217
INPP4B_TSS1248	4.55814255952397e-05	-0.280732863594051	0.0024684466517795	202	176	34	0.345824	0.539728465741627	4.71317693463633e-05	NA	0.014697046329175	-4.71317693463633e-05	196	170	32	0.340146	0.534531553399015
ANKRD33B_TSS26098	2.64131563502296e-05	-0.288986703242008	0.00164669924260541	205	99	0	0.0902558	0.117781425263158	1.64150583480427e-05	NA	0.0115902314578381	-1.64150583480427e-05	199	95	0	0.0902313	0.115003069359606
OXCT1_TSS11306	0.000105426923828272	-0.267516799028051	0.00474883276433827	203	194	38	0.502368	0.647026571913876	0.000327037012490156	NA	0.0396248364932871	-0.000327037012490156	197	188	35	0.473595	0.634527352364532
EMB_TSS17303	3.28733503243118e-07	-0.34757474696065	5.75531306602558e-05	208	208	184	2.89705	4.19367018660287	6.27331077702861e-05	NA	0.0168732462519834	-6.27331077702861e-05	202	202	178	2.89544	4.11863304926108
GZMK_TSS29633	8.5477971678337e-05	-0.270886888228678	0.00405362232666043	200	196	140	1.83	3.78468942488038	0.000103289055898856	NA	0.0207887524238635	-0.000103289055898856	194	190	135	1.81423	3.75780096945813
GZMA_TSS29553	6.40409336727545e-06	-0.309301263047245	0.000556153031281342	207	206	193	6.85968	13.5977488066986	5.44141113026649e-05	NA	0.0156278550450272	-5.44141113026649e-05	201	200	188	6.76401	13.5644478995074
PDE4D_TSS16039,TSS22359,TSS25408,TSS25617,TSS29920,TSS3013,TSS3508,TSS3690	1.8027889395857e-05	-0.294615171322306	0.00120947737755249	206	177	28	0.293168	0.536165931578947	1.52157860361951e-05	NA	0.0113954492392685	-1.52157860361951e-05	200	172	26	0.292927	0.529098618719212
F2R_TSS19258	4.11303569769521e-08	-0.371616097933286	1.9469130642368e-05	207	203	93	0.826875	1.55786377511962	0.000494171743426413	NA	0.0482119234111547	-0.000494171743426413	201	197	89	0.820898	1.5201539408867
DCANP1_TSS21320	3.60850942585172e-05	-0.284298514242067	0.00209154443161442	189	170	17	0.312419	0.417967681818182	2.08365754408729e-05	NA	0.0123729780967011	-2.08365754408729e-05	183	164	16	0.3116	0.409699283251232
ANXA6_TSS11300,TSS22637	4.60558803205778e-08	-0.370357343963089	2.09835077021551e-05	209	208	206	8.16094	11.7399961521531	2.44107231705189e-05	NA	0.0123729780967011	-2.44107231705189e-05	203	202	200	7.96973	11.545315053202
ITK_TSS1054	5.75433274434669e-08	-0.367863362157552	2.19577223974029e-05	209	208	188	3.50486	5.3292971491866	8.31125216365174e-05	NA	0.0188003465977967	-8.31125216365174e-05	203	202	183	3.50155	5.25191878906404
ADAM19_TSS1594	5.45807465243606e-10	-0.416126825546672	2.27223490512639e-06	209	208	173	2.45939	3.68064251502392	8.97636575681889e-06	NA	0.0105648333277311	-8.97636575681889e-06	203	202	168	2.43976	3.60953788985222
SFXN1_TSS35167	2.96228603718521e-07	-0.348827484575178	5.43991441573288e-05	205	203	193	2.43978	2.80103999569378	2.93705677347588e-05	NA	0.0123729780967011	-2.93705677347588e-05	199	197	187	2.42325	2.77027782807882
BTN3A1_TSS10674	0.000913797736407496	-0.229882093128822	0.0247432033266017	209	209	209	20.7061	21.5988596172249	0.000107509135295201	NA	0.0211387769790818	-0.000107509135295201	203	203	203	20.7061	21.5719244334975
BTN3A3_TSS30613	7.81484993289276e-07	-0.336938314270145	0.000112222123109366	209	209	209	13.0136	13.5065683253589	4.16617017359344e-05	NA	0.0143356084598937	-4.16617017359344e-05	203	203	203	12.952	13.486074137931
HCP5_TSS25393	9.70417504288298e-08	-0.361925901092349	2.94002024355625e-05	209	209	209	16.0145	17.4561983253589	8.21033563957435e-06	NA	0.010493219464158	-8.21033563957435e-06	203	203	203	15.9076	17.3666895073892
NCR3_TSS35424	3.07676133868185e-06	-0.31924612890174	0.000321000394196109	197	187	97	0.853359	1.76900706937799	0.00010839397142852	NA	0.0211500633869038	-0.00010839397142852	191	181	94	0.840465	1.78672871182266
TAP1_TSS30082,TSS4674	7.90447697093416e-11	-0.434087399019032	1.01023167927024e-06	209	209	209	43.5889	47.9095722488038	9.00739445983573e-07	NA	0.00587255904482368	-9.00739445983573e-07	203	203	203	43.4943	47.6720812807882
ITPR3_TSS34335	0.000124120174667827	-0.264863121386557	0.00535918206872352	209	209	197	2.16893	2.62010752631579	0.000455845587227287	NA	0.0468177485602994	-0.000455845587227287	203	203	191	2.16893	2.60834301970443
KCNK5_TSS33854	0.000386266688951123	-0.2455877519508	0.0127398230145544	174	80	1	0.0763944	0.129307228899522	0.000483563706662269	NA	0.0482119234111547	-0.000483563706662269	169	76	1	0.0761521	0.127116949605911
TRERF1_TSS31764	4.83046897399601e-09	-0.394496745157191	5.36833119323096e-06	209	204	85	0.749142	1.22622211334928	9.18011040031732e-05	NA	0.0190617296995188	-9.18011040031732e-05	203	198	81	0.7395	1.21031212162562
RCAN2_TSS18088,TSS31718,TSS8426	5.16475997225407e-07	-0.342074799436822	8.14916232412261e-05	193	162	22	0.267285	0.487840865215311	4.89166289452294e-05	NA	0.0148852137198691	-4.89166289452294e-05	187	158	22	0.270941	0.495314214926108
BACH2_TSS20549	1.16197323452515e-05	-0.300944913022889	0.000878733664133056	200	92	1	0.0815775	0.140160986507177	1.13156151366765e-05	NA	0.0113954492392685	-1.13156151366765e-05	194	88	1	0.0805101	0.137143043103448
CEP85L_TSS30898,TSS32729	6.48665257002763e-05	-0.275253841373686	0.00331610652684953	206	204	79	0.827699	1.04060993444976	7.15219501027954e-05	NA	0.0179236891031612	-7.15219501027954e-05	200	198	76	0.816485	1.03132553842365
THEMIS_TSS11521,TSS3012	4.79457277141586e-06	-0.31327092766971	0.000434588917057308	207	201	112	1.08552	2.03631658038277	2.83089899524138e-05	NA	0.0123729780967011	-2.83089899524138e-05	201	195	108	1.06368	2.01610032167488
TMEM200A_TSS11390,TSS19912,TSS27245	4.14443758293808e-07	-0.344767322415431	6.8345786488697e-05	204	191	75	0.69297	1.02668995717703	2.60109970413973e-05	NA	0.0123729780967011	-2.60109970413973e-05	198	186	72	0.691159	1.0159695179803
ENPP1_TSS1461	1.76450832782303e-05	-0.294927966807246	0.00119319040654721	192	87	0	0.0760613	0.118036372535885	7.86848386312151e-05	NA	0.0185412146214669	-7.86848386312151e-05	186	85	0	0.0789698	0.116519852315271
ZC3H12D_TSS11859	1.51645233130345e-05	-0.297125579671095	0.00106489115495735	208	208	62	0.76351	0.944607248803828	0.000177910203405217	NA	0.0278253938635781	-0.000177910203405217	202	202	58	0.761279	0.932022064039409
SYNE1_TSS17246,TSS33718	2.04996112763428e-06	-0.324605293060283	0.000229820422734473	209	209	74	0.733832	1.00511580861244	7.37115885510358e-05	NA	0.0179519129959173	-7.37115885510358e-05	203	203	70	0.728234	0.997153039408867
TIAM2_TSS16201,TSS8920	3.22851792205005e-06	-0.318603816901782	0.000331422275524182	201	126	8	0.135787	0.266306408878249	0.000251045168190416	NA	0.0346863002384606	-0.000251045168190416	195	122	7	0.135787	0.265049613468172
SOD2_TSS5048	0.000637560324151101	-0.236573382865399	0.0186390776165902	209	209	209	54.7059	62.582723923445	0.000169608085266342	NA	0.0277907196634165	-0.000169608085266342	203	203	203	54.5611	62.2430078817734
CDK6_TSS10640,TSS17533	8.17918033710483e-07	-0.336367516448432	0.000116148904775965	209	205	60	0.662732	0.827723595406699	0.000188379311782518	NA	0.0284920922394849	-0.000188379311782518	203	199	56	0.660712	0.814447790344828
ASNS_TSS17952,TSS20232	9.52257490607462e-05	-0.269157383197067	0.00442557340316679	204	202	162	1.64039	1.68444852966507	0.000279525273600552	NA	0.0364538036658352	-0.000279525273600552	198	196	156	1.61702	1.66785040738916
TCAF2_TSS17748,TSS27449,TSS2942	0.000581179199580393	-0.23826453284466	0.0175389864468411	197	141	2	0.152875	0.226534573588517	4.70639063019795e-05	NA	0.014697046329175	-4.70639063019795e-05	191	135	2	0.151543	0.222873299901478
EPHA1_TSS30610	6.02078143043037e-06	-0.310152538220647	0.000530679979804244	204	177	29	0.323228	0.536256248277512	0.000315240054647303	NA	0.0389306873116388	-0.000315240054647303	198	171	28	0.323228	0.533828354137931
LZTS1_TSS2986	6.69364474426722e-07	-0.338869800762321	9.83311800621922e-05	196	138	12	0.165923	0.329333220669856	7.42936980270444e-05	NA	0.0179519129959173	-7.42936980270444e-05	190	134	12	0.16523	0.329341262807882
DUSP4_TSS11832,TSS35696	3.44639344869794e-07	-0.347004415085634	5.99273897565768e-05	208	198	79	0.698707	1.10442946464115	5.84337404736636e-05	NA	0.0158896259600778	-5.84337404736636e-05	202	192	75	0.675219	1.10193670004926
PDE7A_TSS27686,TSS8654	1.27705183355049e-05	-0.299596449509037	0.000943431269288559	208	208	203	2.44174	2.90904549760766	0.000274407423272138	NA	0.035969887929534	-0.000274407423272138	202	202	197	2.4405	2.88280245812808
MSC-AS1_TSS17897,TSS21334	0.000384741514457878	-0.245657601790647	0.0127059145362504	183	91	0	0.0766999	0.121764672331235	5.62379017397751e-05	NA	0.0157372102865706	-5.62379017397751e-05	177	87	0	0.0738872	0.119332633582404
TMEM2_TSS30800	0.00228354524812765	-0.211936161428314	0.046935425968132	209	209	208	3.42907	3.63520477033493	0.000422212297504084	NA	0.0449673689020912	-0.000422212297504084	203	203	202	3.42489	3.6103235320197
NTRK2_TSS11428,TSS554,TSS8900	2.84161724349637e-07	-0.349326360889021	5.42657987362476e-05	185	92	12	0.0839092	0.256212381818182	1.4944003677465e-06	NA	0.00618514500620379	-1.4944003677465e-06	179	89	11	0.0839092	0.255326614778325
ABCA1_TSS19198	0.000865251145159554	-0.230909108840188	0.0236795337488473	209	209	205	5.8488	6.4192870430622	5.33150887653222e-05	NA	0.0154862157264818	-5.33150887653222e-05	203	203	199	5.7916	6.3298106502463
TRAF1_TSS10088,TSS10913,TSS12784	5.02206164645818e-08	-0.369390289793595	2.10440848762488e-05	209	208	208	3.45725	4.27023429473684	0.000422212297504084	NA	0.0449673689020912	-0.000422212297504084	203	202	202	3.44242	4.21243683546798
FAM102A_TSS27745,TSS28229	1.47439966341074e-08	-0.382795180538145	9.9176657359058e-06	208	208	207	4.33932	6.13919118181818	5.22367986234826e-05	NA	0.0154862157264818	-5.22367986234826e-05	202	202	201	4.33509	6.01787077339901
DBH-AS1_TSS15307	3.83384852413954e-05	-0.283378630336361	0.00217771115834513	171	121	21	0.167591	0.371366221052632	0.000228328372602018	NA	0.0326050364920681	-0.000228328372602018	166	117	20	0.165523	0.364034429064039
