tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Hilar Lymphadenopathy)	corr_coef (Hilar Lymphadenopathy)	fdr (Hilar Lymphadenopathy)	pval_dir (Hilar Lymphadenopathy)	fpkm>0_num (Hilar Lymphadenopathy)	fpkm>0.1_num (Hilar Lymphadenopathy)	fpkm>1_num (Hilar Lymphadenopathy)	fpkm_median (Hilar Lymphadenopathy)	fpkm_mean (Hilar Lymphadenopathy)
BTN3A3_TSS30613	2.73720732504422e-05	0.288455064398119	0.00128142411053948	209	209	209	13.0136	13.5065683253589	4.16617017359344e-05	NA	0.0143356084598937	-4.16617017359344e-05	203	203	203	12.952	13.486074137931
HCP5_TSS25393	1.42784634713944e-05	0.297993962985643	0.000791695888920419	209	209	209	16.0145	17.4561983253589	8.21033563957435e-06	NA	0.010493219464158	-8.21033563957435e-06	203	203	203	15.9076	17.3666895073892
NCR3_TSS35424	4.4015176830841e-07	0.344033578160501	4.61095055316855e-05	197	187	97	0.853359	1.76900706937799	0.00010839397142852	NA	0.0211500633869038	-0.00010839397142852	191	181	94	0.840465	1.78672871182266
C4B_TSS5662	0.00328120756087579	0.204421641621404	0.0394360184462373	206	109	1	0.109423	0.158523919090909	5.61024531843524e-05	NA	0.0157372102865706	-5.61024531843524e-05	200	106	1	0.109423	0.155598661527094
TAP1_TSS30082,TSS4674	1.66679816903825e-09	0.405245422940797	4.84148045440759e-07	209	209	209	43.5889	47.9095722488038	9.00739445983573e-07	NA	0.00587255904482368	-9.00739445983573e-07	203	203	203	43.4943	47.6720812807882
ITPR3_TSS34335	3.61110381867947e-11	0.441079187378884	2.79707347603836e-08	209	209	197	2.16893	2.62010752631579	0.000455845587227287	NA	0.0468177485602994	-0.000455845587227287	203	203	191	2.16893	2.60834301970443
KCNK5_TSS33854	0.00132641279462111	0.222748680984784	0.0216365267666306	174	80	1	0.0763944	0.129307228899522	0.000483563706662269	NA	0.0482119234111547	-0.000483563706662269	169	76	1	0.0761521	0.127116949605911
TRERF1_TSS31764	2.72134863750382e-07	0.349844211883302	3.06433447238922e-05	209	204	85	0.749142	1.22622211334928	9.18011040031732e-05	NA	0.0190617296995188	-9.18011040031732e-05	203	198	81	0.7395	1.21031212162562
RCAN2_TSS18088,TSS31718,TSS8426	3.02043384561707e-06	0.319492238451242	0.000223783505877733	193	162	22	0.267285	0.487840865215311	4.89166289452294e-05	NA	0.0148852137198691	-4.89166289452294e-05	187	158	22	0.270941	0.495314214926108
BACH2_TSS20549	2.57034568563403e-06	0.321632325714809	0.000196121212150721	200	92	1	0.0815775	0.140160986507177	1.13156151366765e-05	NA	0.0113954492392685	-1.13156151366765e-05	194	88	1	0.0805101	0.137143043103448
CEP85L_TSS30898,TSS32729	0.00228356065099382	0.211936023925361	0.0311473286019493	206	204	79	0.827699	1.04060993444976	7.15219501027954e-05	NA	0.0179236891031612	-7.15219501027954e-05	200	198	76	0.816485	1.03132553842365
THEMIS_TSS11521,TSS3012	5.06532865526606e-08	0.369294288624428	8.04602393734364e-06	207	201	112	1.08552	2.03631658038277	2.83089899524138e-05	NA	0.0123729780967011	-2.83089899524138e-05	201	195	108	1.06368	2.01610032167488
TMEM200A_TSS11390,TSS19912,TSS27245	6.99907053583591e-09	0.390658587953823	1.64131414648167e-06	204	191	75	0.69297	1.02668995717703	2.60109970413973e-05	NA	0.0123729780967011	-2.60109970413973e-05	198	186	72	0.691159	1.0159695179803
ZC3H12D_TSS11859	4.30563842963311e-05	0.281607152536527	0.00181911444462565	208	208	62	0.76351	0.944607248803828	0.000177910203405217	NA	0.0278253938635781	-0.000177910203405217	202	202	58	0.761279	0.932022064039409
SYNE1_TSS17246,TSS33718	6.81790443275376e-07	0.338641080855291	6.57631906436297e-05	209	209	74	0.733832	1.00511580861244	7.37115885510358e-05	NA	0.0179519129959173	-7.37115885510358e-05	203	203	70	0.728234	0.997153039408867
TIAM2_TSS16201,TSS8920	6.08821341525465e-05	0.276246779188449	0.00234368709498982	201	126	8	0.135787	0.266306408878249	0.000251045168190416	NA	0.0346863002384606	-0.000251045168190416	195	122	7	0.135787	0.265049613468172
CDK6_TSS10640,TSS17533	1.97297327560185e-05	0.293296504026306	0.00100862339795318	209	205	60	0.662732	0.827723595406699	0.000188379311782518	NA	0.0284920922394849	-0.000188379311782518	203	199	56	0.660712	0.814447790344828
ASNS_TSS17952,TSS20232	0.0005233228386237	0.24016552112823	0.0115013949286906	204	202	162	1.64039	1.68444852966507	0.000279525273600552	NA	0.0364538036658352	-0.000279525273600552	198	196	156	1.61702	1.66785040738916
TCAF2_TSS17748,TSS27449,TSS2942	8.34133597192685e-05	0.271276850475305	0.00293681664984053	197	141	2	0.152875	0.226534573588517	4.70639063019795e-05	NA	0.014697046329175	-4.70639063019795e-05	191	135	2	0.151543	0.222873299901478
EPHA1_TSS30610	4.02210906114395e-11	0.440126568752089	3.02379793270295e-08	204	177	29	0.323228	0.536256248277512	0.000315240054647303	NA	0.0389306873116388	-0.000315240054647303	198	171	28	0.323228	0.533828354137931
LZTS1_TSS2986	1.31055837373799e-09	0.407622305943796	4.08526616964838e-07	196	138	12	0.165923	0.329333220669856	7.42936980270444e-05	NA	0.0179519129959173	-7.42936980270444e-05	190	134	12	0.16523	0.329341262807882
DUSP4_TSS11832,TSS35696	3.91193017469583e-08	0.37217227196518	6.66618981302668e-06	208	198	79	0.698707	1.10442946464115	5.84337404736636e-05	NA	0.0158896259600778	-5.84337404736636e-05	202	192	75	0.675219	1.10193670004926
PDE7A_TSS27686,TSS8654	0.00211926782205908	0.213452986657402	0.0295998872028288	208	208	203	2.44174	2.90904549760766	0.000274407423272138	NA	0.035969887929534	-0.000274407423272138	202	202	197	2.4405	2.88280245812808
MSC-AS1_TSS17897,TSS21334	0.000257357427586479	0.252655050795882	0.00691245707627646	183	91	0	0.0766999	0.121764672331235	5.62379017397751e-05	NA	0.0157372102865706	-5.62379017397751e-05	177	87	0	0.0738872	0.119332633582404
FRMD3_TSS22216,TSS26857,TSS31026,TSS6702	0.00473874557662929	0.196530357360639	0.0498055409885778	207	199	35	0.570029	0.687041777703349	0.000179616032753983	NA	0.0278253938635781	-0.000179616032753983	201	193	33	0.564956	0.686288505123153
NTRK2_TSS11428,TSS554,TSS8900	5.47879015432031e-05	0.277890444804407	0.00219503691433513	185	92	12	0.0839092	0.256212381818182	1.4944003677465e-06	NA	0.00618514500620379	-1.4944003677465e-06	179	89	11	0.0839092	0.255326614778325
SEMA4D_TSS7454	2.22052188185673e-06	0.323558573324219	0.000173044999457744	209	209	209	12.3066	13.339080430622	0.000345607198440443	NA	0.0405232366942026	-0.000345607198440443	203	203	203	12.2164	13.2714454187192
