tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
MEGF6_TSS26120	0.000290916868190509	0.250543065822746	0.00744537191445921	208	193	25	0.393853	0.500295341291866	0.000892515736990749	0.23144068382389	0.047927720069791	208	193	25	0.393853	0.500295341291866
PIK3CD_TSS8483	1.28515582118509e-05	0.299505880419706	0.000728378446680979	209	209	209	12.5252	14.2385297607655	0.000511968598830551	0.241722502938028	0.0356937100382748	209	209	209	12.5252	14.2385297607655
STPG1_TSS25240,TSS8095	0.000449818884883965	-0.242883197212145	0.0102842759539526	207	207	207	5.04423	5.16518071770335	0.00013514367965696	-0.264732597213097	0.0165463512384267	207	207	207	5.04423	5.16518071770335
SNHG3_TSS5169	0.00219614469101071	0.212730316628484	0.0303928827541552	209	208	203	4.07312	4.2354787569378	4.23523817189222e-05	0.283204104735059	0.00873039700901105	209	208	203	4.07312	4.2354787569378
LCK_TSS12239,TSS13245	4.14859571509901e-14	0.495664360848825	5.30211275368229e-10	209	209	202	6.49815	10.9743441435407	0.000446263593889258	0.244197194111029	0.0329680454433622	209	209	202	6.49815	10.9743441435407
ZFYVE9_TSS23114	0.00290191349674712	-0.206996807883784	0.0363428764773901	205	190	4	0.378959	0.416177844258373	0.000648185595012003	-0.23741199704031	0.0404104194978093	205	190	4	0.378959	0.416177844258373
IL12RB2_TSS14387	3.23538276415885e-07	0.347766771509893	3.50422113706205e-05	202	182	60	0.427339	0.851976265645933	0.000518069184468525	0.241507894961936	0.0356937100382748	202	182	60	0.427339	0.851976265645933
PDE4B_TSS15460,TSS15932,TSS27165,TSS28364,TSS3070,TSS891	0.0002418165555716	0.253721417486161	0.00664511402908956	209	209	209	7.59199	8.94947110047847	1.4799396078217e-05	0.298889385291439	0.00556304945816625	209	209	209	7.59199	8.94947110047847
LPAR3_TSS31752	0.00137248137980349	-0.222083981602888	0.0221103117261468	204	201	146	1.77051	2.30095476937799	0.000887627209202009	-0.231544492440546	0.047866327203402	204	201	146	1.77051	2.30095476937799
GBP5_TSS22297	8.6348691734163e-07	0.335686861635627	7.96808270547632e-05	209	209	209	22.3408	27.0769605741627	0.000325189927888748	0.249805749275122	0.027755263846762	209	209	209	22.3408	27.0769605741627
GFI1_TSS13114,TSS14018,TSS17395	5.64293306858678e-10	0.415807757411444	2.03153538262179e-07	203	199	90	0.875283	1.49110776315789	1.55233969518104e-05	0.298196448036091	0.0055643611685874	203	199	90	0.875283	1.49110776315789
FAM212B_TSS23351,TSS35432	5.51255035867439e-09	-0.393135288659101	1.36802232735996e-06	209	209	207	3.45787	3.45379391866029	0.000793048971398384	-0.233663995532364	0.0453616396416431	209	209	207	3.45787	3.45379391866029
FAM46C_TSS1048	1.68242483666048e-08	0.381380338113923	3.49629766259175e-06	207	203	81	0.723954	1.12093063444976	0.000362666201864724	0.247887373943527	0.0292774806893608	207	203	81	0.723954	1.12093063444976
RORC_TSS17590,TSS30208	3.67272416871371e-09	0.397301593258431	9.57943902821338e-07	203	189	79	0.691258	1.31739192822967	0.000846398615476601	0.232441538012948	0.0467429838148191	203	189	79	0.691258	1.31739192822967
PYHIN1_TSS13031	1.46462354650108e-06	0.328966510650909	0.000121945415218613	202	198	99	0.885633	1.41337003205742	4.87679893410051e-06	0.31451714000064	0.00345894444450888	202	198	99	0.885633	1.41337003205742
FCRL6_TSS1525,TSS35367	2.4487749878183e-05	0.290111574149823	0.00119452552411496	206	204	147	1.38423	1.78043263875598	0.000603863754147563	0.238714272102505	0.0386272841026212	206	204	147	1.38423	1.78043263875598
SLAMF6_TSS3563	2.94243395460817e-08	0.375312220873436	5.33415278820847e-06	208	208	197	2.78856	3.63012554066986	8.29447094461302e-05	0.272665319946071	0.0130070534855984	208	208	197	2.78856	3.63012554066986
SLAMF1_TSS19229	2.61604201090467e-10	0.423087932321328	1.09620737443827e-07	206	205	132	1.45628	2.25817467703349	0.000205967441287035	0.257680281385417	0.021143509103365	206	205	132	1.45628	2.25817467703349
CD48_TSS29749	4.61478232690991e-07	0.343455389888519	4.73728719109013e-05	209	209	209	19.966	26.9365433014354	2.07391671023352e-05	0.293955165516313	0.00646480305247305	209	209	209	19.966	26.9365433014354
CD244_TSS25286	0.000116084822103573	0.265954540056286	0.00375125681136462	203	200	90	0.839825	1.19234838373206	4.2295874421405e-06	0.316458796841179	0.00324424953446904	203	200	90	0.839825	1.19234838373206
LY9_TSS34264	1.81600887715046e-09	0.404393371715372	5.21561830436436e-07	207	202	131	1.42059	2.26430950574163	0.000514260847512314	0.241641589547701	0.0356937100382748	207	202	131	1.42059	2.26430950574163
SLAMF7_TSS33865	1.99431592297991e-06	0.324964812394983	0.000157335522553362	208	208	193	4.72702	7.22473119617225	0.000535042460879289	0.240922876831822	0.0362154534069522	208	208	193	4.72702	7.22473119617225
GPA33_TSS1559	0.00419930079349859	-0.19915675761222	0.0460087130658455	209	209	209	40.1054	42.9696586602871	1.72417996800978e-05	-0.296666978005988	0.00595564380571595	209	209	209	40.1054	42.9696586602871
RCSD1_TSS24242	1.07689683295643e-05	0.302025799390107	0.000634343813665102	209	209	208	6.03309	6.69532331100478	4.40405294987469e-06	0.315908972084922	0.00324424953446904	209	209	208	6.03309	6.69532331100478
FASLG_TSS4455	6.56019390150943e-06	0.308968384641295	0.000426294279411312	196	185	81	0.691387	1.19454288516746	7.94394964447302e-05	0.273355324675915	0.0126121302398991	196	185	81	0.691387	1.19454288516746
NR5A2_TSS34731,TSS5566	0.000270889016028001	0.25177429165629	0.00716956628821719	136	30	0	0.0149196	0.0481336749760766	2.32132371209004e-07	0.353376154074299	0.000612638734948525	136	30	0	0.0149196	0.0481336749760766
NAV1_TSS4182,TSS6789	0.00170236761441729	-0.217845563615783	0.0256418494944729	208	208	191	1.6098	1.68729528229665	0.000361947469701103	-0.247922398366292	0.0292774806893608	208	208	191	1.6098	1.68729528229665
PTPN7_TSS11819,TSS26362	1.89788161247543e-10	0.426076473803351	9.46580879976061e-08	209	208	184	3.07511	4.5467001062201	1.58913330975658e-05	0.297855936381721	0.0055643611685874	209	208	184	3.07511	4.5467001062201
LAX1_TSS16296,TSS32641	2.2623446300764e-08	0.378180827173037	4.48277450305294e-06	205	202	86	0.779045	1.27709486220096	3.03951813045342e-05	0.288253476565086	0.00786407552637918	205	202	86	0.779045	1.27709486220096
CD55_TSS22160	0.000486238136370921	-0.241489092619865	0.0108642771012038	209	209	209	35.3043	35.4187440191388	0.000946878272985256	-0.230320249639145	0.049698471326029	209	209	209	35.3043	35.4187440191388
TRAF3IP3_TSS9082,TSS9474	2.5912180363584e-10	0.423177142970258	1.09620737443827e-07	205	205	188	4.12	6.55824513397129	9.44061670165158e-05	0.270585826012978	0.0140297443901695	205	205	188	4.12	6.55824513397129
TRAF5_TSS34889,TSS35580,TSS8938	0.000267820973284217	0.251970339595289	0.00711618700428052	207	207	195	2.10825	2.6493866076555	0.000125168103164149	0.265995081198811	0.0161483033856943	207	207	195	2.10825	2.6493866076555
FAM89A_TSS4251	0.00119170466436417	-0.224821327822835	0.0200007635757141	209	209	209	52.2642	52.008809569378	3.26017838089872e-05	-0.287194756976632	0.00789241781549392	209	209	209	52.2642	52.008809569378
TRIB2_TSS27688	3.10532067920465e-08	0.374720726883895	5.54400520773726e-06	205	204	160	1.76701	2.55545684497608	0.000851818543669941	0.232321345119632	0.0467429838148191	205	204	160	1.76701	2.55545684497608
ZAP70_TSS22131,TSS35458	5.63106508792048e-13	0.475762218729648	1.51161671781835e-09	205	205	170	2.76916	4.99797503827751	0.000598377262627004	0.23888157464055	0.0385339741590148	205	205	170	2.76916	4.99797503827751
IL18R1_TSS34462	2.76461306784006e-06	0.32066802714742	0.000207841984197235	200	187	48	0.466638	0.738374816172249	5.05497691308107e-05	0.280470921745855	0.00950075477024009	200	187	48	0.466638	0.738374816172249
KIF5C_TSS20975,TSS21364	1.18550544387344e-07	0.359619125615675	1.55398485388969e-05	200	141	8	0.157209	0.260358135837321	0.000173787608013474	0.260547274248925	0.0194073045436149	200	141	8	0.157209	0.260358135837321
CDCA7_TSS9501	1.33383878675946e-07	0.358252148520302	1.72193198123023e-05	203	190	53	0.586259	0.889375975598086	0.000247236085278423	0.254561213463263	0.0237579006609089	203	190	53	0.586259	0.889375975598086
ITGA4_TSS24112	0.00265248006190452	0.208862111836014	0.0343117625821566	209	209	209	9.92245	11.0818024880383	0.000390704909705583	0.246568939408082	0.0307286406061059	209	209	209	9.92245	11.0818024880383
STAT4_TSS18456,TSS5227	8.96184895918617e-08	0.362837825709291	1.23205399581948e-05	205	203	135	1.49258	2.24083747799043	7.80777342699146e-05	0.273631119590233	0.012473406035458	205	203	135	1.49258	2.24083747799043
CD28_TSS30429	1.02945131503991e-08	0.386612305842711	2.26843147101165e-06	204	199	66	0.675958	1.10690685741627	0.000363090699836757	0.247866718046149	0.0292774806893608	204	199	66	0.675958	1.10690685741627
TUBA4A_TSS2759,TSS28369	5.91376205085227e-13	0.475375836181894	1.51161671781835e-09	209	206	172	2.4636	3.81653519617225	0.000180775723251838	0.259884868757548	0.0199090703765646	209	206	172	2.4636	3.81653519617225
INPP5D_TSS12300	0.000475053749027568	0.24190663530324	0.0106829738105281	209	209	209	13.9637	14.9269318660287	0.000366638391955255	0.247694959803149	0.0294705784175103	209	209	209	13.9637	14.9269318660287
ARL4C_TSS25821,TSS2669	6.80645939851143e-09	0.390949124542635	1.61092508041991e-06	209	208	201	4.57039	6.00943908564593	0.00017251957200759	0.260670130322924	0.0194073045436149	209	208	201	4.57039	6.00943908564593
SLC6A6_TSS1526	4.10160588129054e-05	-0.282349624109998	0.00175907966328301	209	209	209	45.6833	46.3137755980861	0.000424158632038019	-0.245106150333554	0.0321718658561537	209	209	209	45.6833	46.3137755980861
OXNAD1_TSS23692	5.39446800410289e-07	0.341539441521996	5.38624986925289e-05	209	208	207	2.53416	2.94018264114833	0.000172248886777747	0.260696465314446	0.0194073045436149	209	208	207	2.53416	2.94018264114833
CXCR6_TSS25765	1.54436331293209e-09	0.406001608101491	4.59017100486711e-07	208	208	193	5.78245	10.9249298133971	8.52493411073011e-05	0.272226403420708	0.0130966795665006	208	208	193	5.78245	10.9249298133971
CCR5_TSS491	2.18724496431795e-05	0.29178134077727	0.00109409331766989	209	209	200	5.23042	6.81950903349282	0.000159209172811584	0.262013214890535	0.018928119377846	209	209	200	5.23042	6.81950903349282
CD96_TSS35644	3.55769042893475e-11	0.441210650495912	2.79707347603836e-08	209	208	165	2.37397	3.97483383205742	3.89982788320266e-05	0.28446898235815	0.00832858924536602	209	208	165	2.37397	3.97483383205742
ZBED2_TSS18019	0.00360410776068099	0.202433462478449	0.0417609240574645	172	130	10	0.155181	0.287337065550239	0.000383419186717266	0.246902870745448	0.0303423462281115	172	130	10	0.155181	0.287337065550239
SIDT1_TSS11062	8.47196175001292e-05	0.27102908859813	0.00297870446068886	201	187	18	0.292696	0.440750932440191	4.44572433185418e-05	0.282457677397009	0.00875883711475371	201	187	18	0.292696	0.440750932440191
SLC9A9_TSS35734	7.3314327801434e-07	0.337736289908306	6.96649640495336e-05	207	194	45	0.535835	0.705872794354067	0.000353194020360162	0.248354221687928	0.0288434260524796	207	194	45	0.535835	0.705872794354067
ST6GAL1_TSS18437,TSS23896	2.64767140453913e-06	0.321240443376385	0.000200970767355366	209	208	206	3.70036	4.80735480952153	2.25171529280758e-06	0.324896386464263	0.00250243889562846	209	208	206	3.70036	4.80735480952153
GABRA4_TSS15695,TSS32018	1.0770518177327e-05	-0.302023757742747	0.000634343813665102	198	79	1	0.071935	0.115336817703349	7.07675201531745e-06	-0.309374373138782	0.00393236648398977	198	79	1	0.071935	0.115336817703349
ANTXR2_TSS10288,TSS15192	0.0034516905251443	0.203350967354613	0.0406958770817406	209	207	175	2.20603	2.62645104961722	0.000514569231114236	0.241630729482725	0.0356937100382748	209	207	175	2.20603	2.62645104961722
TSPAN5_TSS26330	2.29846294439997e-07	0.351857731783072	2.68269458090445e-05	201	168	40	0.326261	0.5778200915311	0.000133969820681062	0.264876545846529	0.0165430076639064	201	168	40	0.326261	0.5778200915311
ELOVL6_TSS32069,TSS794	1.95351124445036e-08	0.379770740365859	3.90107038432778e-06	199	174	29	0.305799	0.513148875598086	0.000156223107118501	0.262328891662901	0.01865990112643	199	174	29	0.305799	0.513148875598086
ZNF827_TSS22419	8.05827251701195e-05	0.271826479924775	0.00285287401395211	199	102	1	0.0940501	0.156491634354067	0.000526229880104643	0.241224442177345	0.0357738350142415	199	102	1	0.0940501	0.156491634354067
FAM134B_TSS1869,TSS33898	0.000563524462677186	-0.238825337875592	0.012084101334305	209	209	209	8.34997	8.85565444976076	0.000891875462539679	-0.231454250334673	0.047927720069791	209	209	209	8.34997	8.85565444976076
EMB_TSS17303	1.18201220902751e-05	0.300701253453047	0.000688232666855401	208	208	184	2.89705	4.19367018660287	2.28546185562484e-05	0.292517913403261	0.00679542897063547	208	208	184	2.89705	4.19367018660287
PDE4D_TSS16039,TSS22359,TSS25408,TSS25617,TSS29920,TSS3013,TSS3508,TSS3690	5.89248529972265e-07	0.340449975731452	5.77525819600542e-05	206	177	28	0.293168	0.536165931578947	0.000566723735388306	0.239875407485263	0.0374315901815516	206	177	28	0.293168	0.536165931578947
F2R_TSS19258	6.4930969630374e-09	0.391439206853146	1.56575520256792e-06	207	203	93	0.826875	1.55786377511962	4.03090926699492e-06	0.317111830814592	0.00324424953446904	207	203	93	0.826875	1.55786377511962
ACSL6_TSS12829,TSS22056,TSS33015	3.39259480388186e-06	0.317940923858887	0.00024635828347166	183	54	1	0.0458318	0.100488133444976	0.00073540363919846	0.235073150272352	0.043113881700807	183	54	1	0.0458318	0.100488133444976
DCANP1_TSS21320	0.00117091560475766	0.225160162539646	0.0198079244031836	189	170	17	0.312419	0.417967681818182	0.000309292920363438	0.250682278401494	0.0272628223615414	189	170	17	0.312419	0.417967681818182
REEP2_TSS32202	0.00453635984056494	0.197482591940044	0.0484045286432513	102	29	1	0	0.0587460148325359	0.000697747142914941	0.236049744085495	0.0425998980049542	102	29	1	0	0.0587460148325359
PPP2R2B_TSS16827,TSS20701,TSS25167,TSS32472,TSS7462	4.01150327486439e-07	0.34516401423852	4.28431618808489e-05	193	169	31	0.357744	0.547576531100478	0.000581591990264644	0.239402363782756	0.0380841473693416	193	169	31	0.357744	0.547576531100478
ANXA6_TSS11300,TSS22637	5.44544065606929e-10	0.416149012478561	1.98844155156839e-07	209	208	206	8.16094	11.7399961521531	0.000774463981437845	0.234107700238004	0.0448890563027954	209	208	206	8.16094	11.7399961521531
ITK_TSS1054	1.50932372573718e-11	0.448681731954292	1.62255567064899e-08	209	208	188	3.50486	5.3292971491866	0.000276111462478265	0.252655514569797	0.0252862785265061	209	208	188	3.50486	5.3292971491866
ADAM19_TSS1594	3.44620237631704e-11	0.441491339724535	2.79707347603836e-08	209	208	173	2.45939	3.68064251502392	0.000401249989323998	0.246095707590736	0.0312453560856841	209	208	173	2.45939	3.68064251502392
SFXN1_TSS35167	0.000246425420759446	0.253398669414441	0.00672239080046127	205	203	193	2.43978	2.80103999569378	3.49701478146102e-05	0.286131108046033	0.00790608243800284	205	203	193	2.43978	2.80103999569378
SERPINB9_TSS19853	0.00201365901163822	0.214485671655248	0.0287227332569669	209	205	166	2.03821	2.4087370607177	9.84221927391915e-05	0.269912914317022	0.014294145844355	209	205	166	2.03821	2.4087370607177
SOX4_TSS16511	0.00401753486622272	-0.200110473051029	0.0445133111033892	209	209	209	4.92176	5.14456645933014	0.000612366000430418	-0.238457762019374	0.0389370331766217	209	209	209	4.92176	5.14456645933014
TREM2_TSS28347	0.00260263819206925	0.209253819938645	0.0339072552637524	209	209	209	82.5211	92.1779719617225	8.80785416566707e-06	0.306306276540027	0.00416391766825873	209	209	209	82.5211	92.1779719617225
TRERF1_TSS31764	2.72134863750382e-07	0.349844211883302	3.06433447238922e-05	209	204	85	0.749142	1.22622211334928	1.64945170127944e-06	0.328970329849678	0.00237797692362631	209	204	85	0.749142	1.22622211334928
RCAN2_TSS18088,TSS31718,TSS8426	3.02043384561707e-06	0.319492238451242	0.000223783505877733	193	162	22	0.267285	0.487840865215311	0.000809189024924901	0.233286365898986	0.0457603554559854	193	162	22	0.267285	0.487840865215311
