tracking_ID	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)	pvalue (Reticular Abnormality)	corr_coef (Reticular Abnormality)	fdr (Reticular Abnormality)	fpkm>0_num (Reticular Abnormality)	fpkm>0.1_num (Reticular Abnormality)	fpkm>1_num (Reticular Abnormality)	fpkm_median (Reticular Abnormality)	fpkm_mean (Reticular Abnormality)
SLC9A1_TSS20166	0.000181293102963076	0.258594607731511	0.00704260335081942	209	209	209	21.6485	21.91691784689	8.1276028865948e-05	-0.272990318312909	0.01662407034384	209	209	209	21.6485	21.91691784689
ACKR3_TSS15815	0.000596012769225028	0.2378053833827	0.017860120040048	209	209	208	25.4759	31.5220517559809	2.71914926233452e-06	-0.322398378564941	0.0052854726338186	209	209	208	25.4759	31.5220517559809
TMEM173_TSS10935,TSS31747	0.000930562985077215	0.229539057331135	0.0250908443687328	209	209	209	68.8411	69.3066894736842	3.45539190433327e-05	-0.286313021214886	0.0121416524746914	209	209	209	68.8411	69.3066894736842
VWA7_TSS10527	0.00115056543752159	0.225497231072623	0.0289179971961547	208	208	203	4.07283	4.23377853588517	0.000604153166166425	-0.238705485944728	0.0354191722027064	208	208	203	4.07283	4.23377853588517
LAT2_TSS17417	0.00033020486184847	0.248341184071397	0.0113293509714211	209	209	209	55.7383	56.6057301435407	0.00053804433523177	-0.240821201295419	0.0337082138550472	209	209	209	55.7383	56.6057301435407
POR_TSS20694	3.01307498870536e-05	0.287018221596174	0.00181216964203054	209	209	209	97.8255	99.6826148325359	0.000155981238185686	-0.262354707392755	0.0209844022592859	209	209	209	97.8255	99.6826148325359
LINC00094_TSS29449	0.00135518431644179	0.222331122216335	0.03274089443532	209	208	204	2.13779	2.22096072535885	0.000203925149299179	-0.257849360970813	0.0228071262933537	209	208	204	2.13779	2.22096072535885
PDLIM1_TSS23538	8.44134984048548e-05	0.27108682803059	0.0040288706149209	209	209	209	160.686	165.61306937799	0.00049000233698739	-0.242515349527816	0.0327878265333368	209	209	209	160.686	165.61306937799
PELI3_TSS14501,TSS28537	0.000173197501421179	0.259358768776763	0.00682141962068839	209	209	209	9.90599	10.3773895215311	1.92382579471376e-05	-0.295061523889392	0.00978471017506324	209	209	209	9.90599	10.3773895215311
LAMTOR1_TSS19163	0.000656834579918874	0.236026838908604	0.0190487361952485	209	209	209	125.068	128.888501913876	0.000279122939731682	-0.252467575965096	0.0260508874231846	209	209	209	125.068	128.888501913876
NFE2_TSS25490,TSS3434	0.00237660502750217	0.211120405567962	0.0482896670174746	208	207	205	7.90111	8.5213067291866	0.000357800806788502	-0.248125738092777	0.0286700514806298	208	207	205	7.90111	8.5213067291866
CS_TSS4204	0.000182124827807241	0.258517912736093	0.00706417712227752	209	209	209	41.7559	42.1910708133971	0.000620847944340388	-0.238205121234229	0.0357421042911817	209	209	209	41.7559	42.1910708133971
SELPLG_TSS11918,TSS24366	0.000116373661260114	0.265914099203282	0.00509353964977702	209	209	209	141.883	148.833581818182	2.17137963165071e-06	-0.325374957610466	0.00462521956371864	209	209	209	141.883	148.833581818182
IRS2_TSS5397	3.86327122678992e-08	0.372310974664547	1.89902068899956e-05	209	209	209	14.0603	14.2529357894737	0.000826445005758516	-0.232890223640035	0.0403117126777923	209	209	209	14.0603	14.2529357894737
CSPG4_TSS34313	0.000146717528909109	0.262114908021182	0.00605855695710137	209	208	183	2.69232	3.15999306555024	0.000402339981295108	-0.246047451598383	0.0298959658775705	209	208	183	2.69232	3.15999306555024
ODF3L1_TSS109	0.000906979825150026	0.230023253436531	0.024610733875435	206	205	180	2.3205	2.74379872583732	0.000171161226385151	-0.260802674863069	0.0216184067865948	206	205	180	2.3205	2.74379872583732
ZNF592_TSS24716	0.00010402527826222	0.267733165049144	0.00471268779277538	209	209	209	12.7737	12.6561106698565	0.000209610920759226	-0.257382485237001	0.0229674276119071	209	209	209	12.7737	12.6561106698565
BCAR1_TSS11528,TSS12694,TSS13521,TSS29281,TSS29637,TSS6650,TSS7009	7.9478027313371e-06	0.306301683790237	0.000651133928255473	209	209	209	9.10515	9.67724	0.000616204996437117	-0.238343017020587	0.0357161358592498	209	209	209	9.10515	9.67724
SPIRE2_TSS12543	7.67366764027354e-05	0.272603043573961	0.00378661425778054	207	207	206	5.59326	5.68016766028708	8.24556381676804e-05	-0.272759933174962	0.0167273695809847	207	207	206	5.59326	5.68016766028708
LRRC75A_TSS17836	0.000146971608463715	0.262086321704709	0.00605926013538873	209	209	209	11.6389	11.486281291866	0.000467550995231601	-0.243360453704209	0.0324704042162297	209	209	209	11.6389	11.486281291866
RARA_TSS19901,TSS20305,TSS8154	0.00081728748933097	0.231977260958187	0.0229567972689988	209	209	209	47.1502	47.252980861244	1.18374006925107e-05	-0.302106028632475	0.00798564047022604	209	209	209	47.1502	47.252980861244
AOC3_TSS29860,TSS5849	0.00102016966944152	0.227796686480692	0.0268266628909836	209	209	209	52.3673	58.1172094736842	0.00047983359540017	-0.242893577970397	0.0325332268753946	209	209	209	52.3673	58.1172094736842
