tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Race)	corr_coef (Race)	fdr (Race)	pval_dir (Race)	fpkm>0_num (Race)	fpkm>0.1_num (Race)	fpkm>1_num (Race)	fpkm_median (Race)	fpkm_mean (Race)
SNX7_TSS33370	0.000152546955791604	-0.261470395245517	0.00466976375687329	208	207	204	5.40853	5.54343562057416	3.84595030239531e-05	NA	0.00798800751018643	-3.84595030239531e-05	208	207	204	5.40853	5.54343562057416
OBSCN_TSS5086	7.12001024007287e-05	0.27378765063105	0.00260737223132525	207	173	1	0.170226	0.219102973588517	4.64070688594611e-05	NA	0.00920826371569093	4.64070688594611e-05	207	173	1	0.170226	0.219102973588517
GNLY_TSS9696	4.19351999312597e-05	0.28201094248877	0.00178949189556416	198	195	158	2.61008	6.18558918947368	4.72046639273095e-05	NA	0.00920826371569093	4.72046639273095e-05	198	195	158	2.61008	6.18558918947368
TSEN2_TSS14601,TSS6945	0.00127780717213018	-0.223473312826488	0.0211131409998833	209	209	209	8.91694	9.33999177033493	0.000497806386273568	NA	0.044005051038515	-0.000497806386273568	209	209	209	8.91694	9.33999177033493
CD86_TSS31831,TSS34538	0.00311721424130676	-0.205500125179743	0.0381296709117638	209	209	209	40.1621	40.7454937799043	0.000183821933986079	NA	0.0232480145917938	-0.000183821933986079	209	209	209	40.1621	40.7454937799043
GIMAP1_TSS29643	0.00436311049660554	0.19832858521161	0.0471367148790085	208	208	206	3.06555	3.28441815789474	9.17019743565706e-05	NA	0.0147340272885994	9.17019743565706e-05	208	208	206	3.06555	3.28441815789474
ANGPT2_TSS28146	0.00132264206469543	-0.222804018774004	0.0216198425883711	206	200	103	0.981813	1.22658732727273	0.000462481764213564	NA	0.0418980414278633	-0.000462481764213564	206	200	103	0.981813	1.22658732727273
EPS8_TSS24221	0.000523751954031372	-0.240150720098323	0.0115013949286906	205	203	86	0.919932	0.997146420574163	0.000309872689656728	NA	0.0328477908824084	-0.000309872689656728	205	203	86	0.919932	0.997146420574163
