tracking_ID	pvalue (FEV1)	corr_coef (FEV1)	fdr (FEV1)	fpkm>0_num (FEV1)	fpkm>0.1_num (FEV1)	fpkm>1_num (FEV1)	fpkm_median (FEV1)	fpkm_mean (FEV1)	pvalue (FVC)	corr_coef (FVC)	fdr (FVC)	fpkm>0_num (FVC)	fpkm>0.1_num (FVC)	fpkm>1_num (FVC)	fpkm_median (FVC)	fpkm_mean (FVC)
C7orf13_TSS21089	2.1067354247274e-05	0.292333478913936	0.0149796489413367	201	190	18	0.49642	0.536806127272727	1.18774912596843e-05	0.300632217093903	0.00948863083008032	201	190	18	0.49642	0.536806127272727
METTL12_TSS4128	6.79633580119187e-05	0.274520907463907	0.0310252729324409	199	196	85	0.922902	0.981137018181818	6.74801189980986e-05	0.274633184426702	0.0394034642297654	199	196	85	0.922902	0.981137018181818
DCAF4_TSS26302	4.77363880731488e-05	0.280022050625914	0.0236672470058433	207	206	203	3.04428	3.12853231435407	2.25111598356315e-05	0.291356803788299	0.0167403690096069	207	206	203	3.04428	3.12853231435407
C22orf29_TSS19068	4.14145084353024e-05	0.282201936133217	0.0220566769508348	208	207	202	1.85748	1.91150673444976	6.44984077290015e-05	0.275343140384911	0.0394034642297654	208	207	202	1.85748	1.91150673444976
PLXNA3_TSS7330	4.81417948796688e-05	0.279891711315903	0.0236672470058433	209	209	209	7.85379	7.79780497607655	4.40654715809112e-05	0.281252111310752	0.0303246125425051	209	209	209	7.85379	7.79780497607655
RPS4Y1_TSS13858	4.51561319659393e-10	0.417936298526584	1.15437135757727e-05	128	109	100	0.2296	27.7543122277512	3.30344803155156e-16	0.52944089758998	8.44493454785842e-12	128	109	100	0.2296	27.7543122277512
ZFY_TSS12744,TSS35370	1.18653763193982e-07	0.359609057817843	0.000168514711238386	145	95	93	0.0169038	1.21688394866029	2.47534622649719e-13	0.482174203325058	9.03996441916773e-10	145	95	93	0.0169038	1.21688394866029
LINC00278_TSS31338	2.92461997159027e-08	0.375378811576599	7.35482710789676e-05	95	94	63	0	0.817187094258373	1.07008626998779e-13	0.488581777223799	4.55928090099465e-10	95	94	63	0	0.817187094258373
PRKY_TSS9055	3.56056961764855e-08	0.373213563110241	7.35482710789676e-05	201	100	90	0.0637497	1.0116384445933	3.72579844974351e-14	0.496457578354538	2.38115778923108e-10	201	100	90	0.0637497	1.0116384445933
TTTY15_TSS8327	2.31972534217199e-08	0.377908654141092	7.35482710789676e-05	128	95	23	0.00961993	0.377564908181818	2.39179136952186e-14	0.499706990958503	2.03812515234856e-10	128	95	23	0.00961993	0.377564908181818
USP9Y_TSS21505	8.62352436897279e-08	0.363277792841786	0.00014696785131228	156	98	93	0.0121863	1.29791239784689	1.79067829178411e-12	0.466504687321113	3.81474165426408e-09	156	98	93	0.0121863	1.29791239784689
DDX3Y_TSS13388,TSS29787,TSS31084	5.39512862805502e-06	0.311659375537682	0.0047558989050896	202	137	96	0.162097	6.01407567933014	1.07350275312166e-10	0.431311748879277	1.44436970425274e-07	202	137	96	0.162097	6.01407567933014
TMSB4Y_TSS24428	1.41760861660019e-06	0.329386146581392	0.00144958986699069	207	183	35	0.400779	0.530061436842105	5.37423943072379e-11	0.437550604080353	8.58669105043893e-08	207	183	35	0.400779	0.530061436842105
NLGN4Y_TSS10714,TSS21586,TSS22064,TSS27039,TSS36193	2.09636902945702e-06	0.324312500937478	0.00206121453342459	99	58	1	0	0.102293099330144	3.11949152398154e-11	0.442367781724446	5.31644542127094e-08	99	58	1	0	0.102293099330144
TXLNGY_TSS26995	3.44082415199418e-08	0.3735911697013	7.35482710789676e-05	123	102	95	0.0609882	2.8640899538756	4.68636706002939e-13	0.477206477386506	1.22315900441333e-09	123	102	95	0.0609882	2.8640899538756
TTTY14_TSS33631,TSS6044	2.46951395019967e-08	0.377227619198374	7.35482710789676e-05	99	90	39	0	0.541839060287081	2.09651413212146e-14	0.500666381611364	2.03812515234856e-10	99	90	39	0	0.541839060287081
BCORP1_TSS15103	6.05160359841006e-07	0.34012041616353	0.000762213511871306	90	47	3	0	0.0860588280382775	2.12527683276774e-11	0.445721497872146	3.88075549663389e-08	90	47	3	0	0.0860588280382775
TTTY10_TSS23657	7.31441945810714e-06	0.30745908107174	0.00603180061377584	51	20	1	0	0.0296848822966507	2.84521245811531e-07	0.349311206217135	0.000242450037597532	51	20	1	0	0.0296848822966507
EIF1AY_TSS28363	3.74013270234149e-08	0.372669637580007	7.35482710789676e-05	105	98	95	0.0242544	3.14247865023923	4.78469333599329e-13	0.477043514485039	1.22315900441333e-09	105	98	95	0.0242544	3.14247865023923
KDM5D_TSS276	5.32402297331423e-09	0.393494570605836	2.81661699582058e-05	139	102	97	0.0341604	4.32308692172249	9.87128045743908e-14	0.489191337006571	4.55928090099465e-10	139	102	97	0.0341604	4.32308692172249
UTY_TSS10258	6.48468197446674e-08	0.36651635053181	0.000118410292853763	142	97	96	0.0182842	1.94158542181818	2.87579113473282e-13	0.481014343476306	9.18959057103873e-10	142	97	96	0.0182842	1.94158542181818
